Distance_(pixels),Gray_Value
0,5
1,3
2,3
3,3
4,3
5,6
6,10
7,12
8,16
9,26
10,17
11,24
12,20
13,22
14,30
15,40
16,29
17,39
18,28
19,49
20,43
21,45
22,38
23,36
24,36
25,34
26,33
27,35
28,36
29,35
30,33
31,38
32,49
33,52
34,36
35,30
36,25
37,28
38,40
39,43
40,33
41,30
42,22
43,28
44,35
45,36
46,39
47,29
48,24
49,48
50,48
51,52
52,43
53,38
54,39
55,40
56,38
57,45
58,49
59,61
60,62
61,61
62,40
63,36
64,39
65,44
66,40
67,42
68,61
69,62
70,44
71,35
72,34
73,38
74,52
75,56
76,35
77,35
78,36
79,39
80,39
81,39
82,49
83,40
84,30
85,35
86,28
87,26
88,26
89,34
90,40
91,43
92,29
93,30
94,28
95,42
96,30
97,28
98,44
99,35
100,33
101,39
102,35
103,39
104,56
105,42
106,39
107,49
108,40
109,42
110,36
111,39
112,39
113,33
114,36
115,36
116,38
117,45
118,49
119,56
120,66
121,53
122,62
123,76
124,131
125,99
126,99
127,112
128,140
129,117
130,114
131,137
132,89
133,94
134,73
135,85
136,67
137,85
138,79
139,77
140,57
141,52
142,66
143,53
144,51
145,49
146,57
147,57
148,71
149,75
150,71
151,61
152,63
153,53
154,51
155,53
156,45
157,70
158,71
159,71
160,49
161,61
162,56
163,59
164,51
165,53
166,42
167,45
168,43
169,45
170,39
171,31
172,39
173,43
174,36
175,40
176,30
177,43
178,35
179,34
180,36
181,35
182,36
183,29
184,39
185,34
186,36
187,33
188,38
189,56
190,49
191,34
192,49
193,33
194,39
195,33
196,34
197,38
198,40
199,28
200,29
201,31
202,53
203,36
204,34
205,57
206,61
207,91
208,98
209,95
210,126
211,159
212,121
213,155
214,140
215,155
216,118
217,159
218,123
219,126
220,79
221,94
222,85
223,131
224,77
225,85
226,68
227,65
228,59
229,63
230,57
231,42
232,40
233,67
234,48
235,47
236,71
237,57
238,63
239,44
240,53
241,40
242,75
243,44
244,56
245,45
246,35
247,33
248,34
249,31
250,45
251,29
252,34
253,38
254,39
255,33
256,45
257,34
258,35
259,25
260,25
261,28
262,38
263,30
264,34
265,30
266,29
267,28
268,33
269,33
270,40
271,28
272,21
273,36
274,38
275,28
276,24
277,24
278,33
279,30
280,20
281,29
282,38
283,35
284,39
285,28
286,35
287,33
288,30
289,28
290,33
291,31
292,36
293,42
294,35
295,39
296,47
297,31
298,29
299,34
300,28
301,28
302,29
303,33
304,33
305,29
306,36
307,30
308,26
309,24
310,34
311,24
312,28
313,25
314,24
315,34
316,33
317,33
318,38
319,39
320,35
321,34
322,36
323,39
324,35
325,22
326,29
327,25
328,30
329,31
330,44
331,31
332,33
333,29
334,31
335,36
336,44
337,42
338,25
339,22
340,28
341,34
342,34
343,40
344,43
345,54
346,80
347,112
348,128
349,98
350,73
351,98
352,118
353,131
354,95
355,90
356,90
357,66
358,47
359,57
360,70
361,85
362,95
363,72
364,76
365,61
366,44
367,65
368,51
369,33
370,24
371,20
372,28
373,22
374,26
375,39
376,36
377,38
378,47
379,40
380,34
381,42
382,36
383,47
384,39
385,40
386,34
387,28
388,39
389,34
390,30
391,36
392,34
393,24
394,22
395,28
396,24
397,29
398,31
399,28
400,29
401,31
402,39
403,31
404,45
405,43
406,40
407,24
408,33
409,45
410,42
411,43
412,39
413,36
414,33
415,31
416,38
417,36
418,35
419,35
420,36
421,34
422,29
423,35
424,44
425,45
426,56
427,43
428,49
429,57
430,66
431,72
432,75
433,77
434,62
435,65
436,73
437,66
438,61
439,56
440,72
441,59
442,58
443,65
444,71
445,43
446,67
447,63
448,58
449,57
450,42
451,39
452,43
453,38
454,36
455,31
456,22
457,26
458,24
459,16
460,25
461,22
462,34
463,40
464,47
465,24
466,26
467,24
468,20
469,25
470,24
471,14
472,22
473,20
474,21
475,19
476,28
477,34
478,22
479,25
480,28
481,38
482,21
483,14
484,17
485,19
486,16
487,15
488,17
489,29
490,28
491,30
492,12
493,12
494,26
495,33
496,31
497,30
498,31
499,20
500,14
501,17
502,16
503,19
504,22
505,24
506,26
507,24
508,19
509,12
510,17
511,22
512,22
513,22
514,15
515,16
516,21
517,38
518,20
519,17
520,26
521,21
522,28
523,21
524,22
525,28
526,24
527,16
528,16
529,17
530,16
531,20
532,19
533,19
534,20
535,19
536,19
537,19
538,16
539,15
540,11
541,6
542,2
543,1
544,0
